Wavelength,Intensity
324.907733,714.0
325.17339567824854,581.0
325.4390577082402,640.0
325.70471908284435,662.0
325.97037979492995,684.0
326.23603983736626,678.0
326.50169920302244,703.0
326.7673578847678,704.0
327.0330158754714,691.0
327.2986731680023,696.0
327.56432975523006,725.0
327.8299856300235,712.0
328.0956407852518,696.0
328.36129521378444,693.0
328.62694890849036,710.0
328.89260186223873,699.0
329.1582540678989,698.0
329.42390551833995,710.0
329.68955620643095,697.0
329.95520612504123,704.0
330.22085526704,685.0
330.48650362529634,689.0
330.75215119267943,685.0
331.0177979620585,681.0
331.28344392630265,697.0
331.54908907828127,698.0
331.8147334108633,682.0
332.080376916918,704.0
332.34601958931455,711.0
332.6116614209222,694.0
332.8773024046101,698.0
333.14294253324726,695.0
333.4085817997031,698.0
333.67422019684665,694.0
333.9398577175471,703.0
334.20549435467376,701.0
334.4711301010957,709.0
334.7367649496821,706.0
335.00239889330214,709.0
335.2680319248251,705.0
335.53366403712005,700.0
335.7992952230561,686.0
336.06492547550266,687.0
336.3305547873287,704.0
336.5961831514035,729.0
336.86181056059627,699.0
337.1274370077761,706.0
337.3930624858122,703.0
337.6586869875738,672.0
337.92431050593,694.0
338.18993303375,685.0
338.45555456390304,706.0
338.7211750892583,695.0
338.9867946026848,711.0
339.25241309705194,709.0
339.5180305652288,700.0
339.78364700008444,696.0
340.04926239448827,696.0
340.3148767413094,701.0
340.5804900334169,690.0
340.84610226368,716.0
341.11171342496795,671.0
341.3773235101499,688.0
341.6429325120949,696.0
341.9085404236723,686.0
342.1741472377513,694.0
342.4397529472009,688.0
342.7053575448904,699.0
342.970961023689,707.0
343.23656337646577,711.0
343.50216459609004,697.0
343.76776467543084,702.0
344.03336360735744,694.0
344.298961384739,685.0
344.5645580004447,705.0
344.8301534473438,707.0
345.0957477183053,694.0
345.36134080619854,704.0
345.6269327038926,706.0
345.8925234042567,693.0
346.15811290016,708.0
346.4237011844718,691.0
346.689288250061,697.0
346.9548740897971,698.0
347.22045869654914,695.0
347.48604206318623,693.0
347.7516241825777,687.0
348.0172050475926,720.0
348.28278465110014,709.0
348.54836298596956,703.0
348.81394004507,689.0
349.07951582127066,697.0
349.34509030744067,700.0
349.61066349644926,700.0
349.87623538116554,703.0
350.14180595445873,716.0
350.40737520919805,700.0
350.6729431382527,705.0
350.9385097344918,699.0
351.2040749907844,694.0
351.4696389,706.0
351.73520145500754,707.0
352.00076264867624,691.0
352.26632247387533,712.0
352.531880923474,709.0
352.7974379903412,712.0
353.0629936673465,696.0
353.32854794735886,683.0
353.59410082324735,695.0
353.8596522878814,696.0
354.12520233413005,714.0
354.39075095486237,693.0
354.65629814294783,710.0
354.92184389125543,718.0
355.1873881926543,715.0
355.45293104001377,711.0
355.7184724262029,706.0
355.98401234409084,723.0
356.249550786547,706.0
356.51508774644026,716.0
356.78062321664,697.0
357.0461571900153,711.0
357.31168965943544,712.0
357.5772206177695,708.0
357.8427500578867,710.0
358.10827797265625,692.0
358.3738043549473,715.0
358.63932919762897,733.0
358.90485249357056,702.0
359.1703742356412,693.0
359.43589441670997,695.0
359.70141302964623,686.0
359.966930067319,690.0
360.23244552259763,700.0
360.49795938835115,718.0
360.76347165744875,715.0
361.0289823227597,690.0
361.2944913771531,691.0
361.55999881349817,693.0
361.82550462466406,693.0
362.09100880352,694.0
362.3565113429351,714.0
362.6220122357787,695.0
362.8875114749197,698.0
363.15300905322755,698.0
363.4185049635713,698.0
363.68399919882006,699.0
363.9494917518432,703.0
364.21498261550977,698.0
364.480471782689,700.0
364.74595924625,702.0
365.01144499906206,710.0
365.27692903399424,710.0
365.54241134391583,713.0
365.80789192169595,692.0
366.0733707602038,691.0
366.3388478523085,699.0
366.60432319087926,695.0
366.8697967687854,700.0
367.1352685788958,716.0
367.40073861408,701.0
367.66620686720694,704.0
367.9316733311458,693.0
368.1971379987659,700.0
368.4626008629363,694.0
368.72806191652626,681.0
368.99352115240487,690.0
369.2589785634414,705.0
369.524434142505,696.0
369.78988788246477,698.0
370.05533977619,698.0
370.3207898165498,717.0
370.5862379964134,697.0
370.85168430865,691.0
371.11712874612874,709.0
371.3825713017187,697.0
371.64801196828927,701.0
371.9134507387095,708.0
372.17888760584856,710.0
372.4443225625757,697.0
372.70975560176,707.0
372.9751867162708,704.0
373.24061589897707,711.0
373.5060431427481,681.0
373.7714684404531,701.0
374.03689178496126,699.0
374.30231316914166,688.0
374.56773258586367,697.0
374.83315002799617,697.0
375.09856548840855,704.0
375.36397895997004,734.0
375.6293904355496,712.0
375.89479990801664,692.0
376.16020737024024,704.0
376.4256128150895,704.0
376.6910162354337,702.0
376.9564176241421,714.0
377.22181697408365,706.0
377.48721427812774,702.0
377.7526095291435,717.0
378.01800272,708.0
378.28339384356656,728.0
378.54878289271227,699.0
378.81416986030627,706.0
379.07955473921794,694.0
379.34493752231623,687.0
379.61031820247047,705.0
379.87569677254976,703.0
380.1410732254234,709.0
380.4064475539604,705.0
380.67181975102994,707.0
380.93718980950143,701.0
381.20255772224385,698.0
381.4679234821264,706.0
381.7332870820183,688.0
381.9986485147888,699.0
382.2640077733069,697.0
382.5293648504419,693.0
382.79471973906294,694.0
383.0600724320393,701.0
383.32542292223997,710.0
383.59077120253437,710.0
383.8561172657915,694.0
384.1214611048805,704.0
384.3868027126708,705.0
384.6521420820313,694.0
384.9174792058312,710.0
385.18281407694,701.0
385.4481466882266,713.0
385.71347703256015,725.0
385.97880510281,704.0
386.24413089184526,698.0
386.5094543925351,697.0
386.7747755977486,725.0
387.04009450035517,715.0
387.3054110932237,706.0
387.5707253692237,700.0
387.83603732122407,694.0
388.10134694209415,700.0
388.36665422470304,705.0
388.63195916192,706.0
388.89726174661416,699.0
389.1625619716546,724.0
389.42785982991074,708.0
389.6931553142515,690.0
389.95844841754626,705.0
390.2237391326641,684.0
390.4890274524742,708.0
390.7543133698457,696.0
391.019596877648,715.0
391.28487796875,689.0
391.5501566360211,691.0
391.81543287233023,688.0
392.0807066705468,707.0
392.3459780235399,702.0
392.6112469241787,703.0
392.87651336533247,684.0
393.1417773398703,684.0
393.4070388406614,694.0
393.6722978605749,713.0
393.93755439248,683.0
394.2028084292459,686.0
394.46805996374184,706.0
394.73330898883694,695.0
394.99855549740033,700.0
395.26379948230124,682.0
395.5290409364089,709.0
395.79427985259235,698.0
396.05951622372095,729.0
396.3247500426638,701.0
396.58998130229,690.0
396.85520999546884,708.0
397.1204361150694,699.0
397.38565965396106,701.0
397.6508806050127,692.0
397.9160989610938,699.0
398.1813147150733,688.0
398.44652785982055,687.0
398.71173838820454,697.0
398.97694629309467,696.0
399.24215156735994,682.0
399.50735420386974,698.0
399.77255419549306,688.0
400.0377515350991,697.0
400.3029462155571,703.0
400.56813822973623,700.0
400.8333275705056,696.0
401.0985142307346,689.0
401.3636982032922,690.0
401.6288794810476,693.0
401.89405805687005,687.0
402.1592339236286,703.0
402.4244070741927,704.0
402.6895775014312,709.0
402.9547451982135,673.0
403.2199101574087,703.0
403.48507237188613,708.0
403.75023183451464,709.0
404.01538853816373,689.0
404.2805424757024,688.0
404.54569363999997,696.0
404.81084202392555,688.0
405.07598762034826,693.0
405.3411304221373,722.0
405.6062704221619,698.0
405.8714076132913,714.0
406.1365419883944,705.0
406.40167354034077,686.0
406.66680226199935,686.0
406.9319281462394,695.0
407.19705118593004,708.0
407.46217137394046,688.0
407.72728870313983,698.0
407.99240316639737,692.0
408.25751475658234,695.0
408.5226234665638,722.0
408.78772928921086,692.0
409.0528322173929,712.0
409.3179322439789,709.0
409.58302936183827,701.0
409.84812356384,681.0
410.1132148428533,702.0
410.3783031917475,711.0
410.6433886033915,721.0
410.90847107065474,711.0
411.17355058640624,714.0
411.4386271435153,694.0
411.703700734851,721.0
411.9687713532826,699.0
412.23383899167914,695.0
412.49890364290997,708.0
412.7639652998442,700.0
413.029023955351,702.0
413.29407960229963,685.0
413.5591322335591,701.0
413.8241818419988,713.0
414.08922842048764,685.0
414.3542719618951,688.0
414.61931245909017,692.0
414.8843499049421,693.0
415.14938429232,694.0
415.4144156140931,680.0
415.67944386313064,695.0
415.9444690323017,692.0
416.2094911144755,701.0
416.47451010252126,696.0
416.7395259893081,707.0
417.00453876770524,704.0
417.2695484305817,695.0
417.53455497080694,704.0
417.79955838125,704.0
418.06455865478,694.0
418.32955578426623,689.0
418.5945497625778,697.0
418.859540582584,709.0
419.12452823715375,700.0
419.38951271915647,687.0
419.6544940214613,705.0
419.9194721369373,689.0
420.1844470584539,694.0
420.44941877888004,718.0
420.71438729108496,692.0
420.97935258793785,701.0
421.2443146623079,696.0
421.5092735070643,711.0
421.77422911507625,709.0
422.0391814792129,699.0
422.30413059234337,706.0
422.569076447337,701.0
422.8340190370628,705.0
423.09895835439,705.0
423.36389439218783,706.0
423.62882714332545,692.0
423.893756600672,693.0
424.1586827570967,712.0
424.42360560546877,698.0
424.68852513865727,690.0
424.9534413495315,707.0
425.2183542309606,706.0
425.4832637758137,701.0
425.74816997695996,700.0
426.01307282726873,708.0
426.277972319609,706.0
426.5428684468501,693.0
426.8077612018611,697.0
427.07265057751124,689.0
427.3375365666697,695.0
427.6024191622056,714.0
427.86729835698816,706.0
428.1321741438866,693.0
428.39704651577,681.0
428.66191546550766,692.0
428.92678098596866,713.0
429.1916430700222,704.0
429.4565017105375,709.0
429.7213569003837,714.0
429.9862086324301,707.0
430.25105689954574,698.0
430.5159016945998,708.0
430.78074301046144,703.0
431.04558084,701.0
431.3104151760845,695.0
431.5752460115842,707.0
431.8400733393683,708.0
432.1048971523059,707.0
432.36971744326627,692.0
432.6345342051185,712.0
432.8993474307318,710.0
433.1641571129753,690.0
433.4289632447184,685.0
433.69376581883,709.0
433.9585648281794,694.0
434.22336026563585,698.0
434.4881521240684,705.0
434.7529403963463,707.0
435.0177250753387,694.0
435.2825061539149,683.0
435.5472836249439,700.0
435.812057481295,673.0
436.0768277158373,699.0
436.34159432144,690.0
436.60635729097226,698.0
436.8711166173034,692.0
437.1358722933025,698.0
437.4006243118387,688.0
437.66537266578126,699.0
437.93011734799927,715.0
438.1948583513619,708.0
438.45959566873853,701.0
438.72432929299816,712.0
438.98905921701004,699.0
439.25378543364326,687.0
439.51850793576705,694.0
439.7832267162506,696.0
440.0479417679631,682.0
440.31265308377374,683.0
440.5773606565517,697.0
440.8420644791661,696.0
441.1067645444861,691.0
441.3714608453811,680.0
441.6361533747199,682.0
441.90084212537215,689.0
442.16552709020664,702.0
442.4302082620927,707.0
442.6948856338995,705.0
442.9595591984962,709.0
443.22422894875206,688.0
443.48889487753615,697.0
443.7535569777178,709.0
444.018215242166,710.0
444.28286966375003,703.0
444.54752023533905,713.0
444.81216694980225,693.0
445.0768098000088,692.0
445.34144877882795,699.0
445.6060838791288,719.0
445.8707150937805,699.0
446.13534241565225,707.0
446.39996583761337,693.0
446.66458535253287,681.0
446.92920095328,702.0
447.1938126327239,697.0
447.4584203837338,708.0
447.7230241991789,701.0
447.98762407192834,689.0
448.25221999485126,697.0
448.5168119608169,700.0
448.78139996269437,699.0
449.045983993353,702.0
449.3105640456618,711.0
449.57514011249,685.0
449.83971218670683,701.0
450.10428026118143,697.0
450.368844328783,684.0
450.6334043823807,687.0
450.8979604148438,680.0
451.16251241904126,712.0
451.42706038784246,688.0
451.6916043141165,693.0
451.9561441907327,704.0
452.22068001056,700.0
452.4852117664678,712.0
452.74973945132507,692.0
453.0142630580011,704.0
453.27878257936516,705.0
453.54329800828623,680.0
453.80780933763367,707.0
454.0723165602766,711.0
454.3368196690842,702.0
454.6013186569255,685.0
454.86581351667,688.0
455.1303042411866,704.0
455.39479082334464,719.0
455.6592732560132,685.0
455.92375153206154,710.0
456.1882256443588,682.0
456.4526955857741,686.0
456.71716134917665,688.0
456.98162292743575,698.0
457.24608031342046,670.0
457.5105335,715.0
457.77498248004355,687.0
458.0394272464202,673.0
458.3038677919993,692.0
458.5683041096499,702.0
458.83273619224127,695.0
459.0971640326425,693.0
459.3615876237228,694.0
459.6260069583513,692.0
459.89042202939737,702.0
460.15483282972997,697.0
460.41923935221837,690.0
460.68364158973185,685.0
460.94803953513946,688.0
461.21243318131036,672.0
461.4768225211137,683.0
461.74120754741887,693.0
462.0055882530949,693.0
462.26996463101096,685.0
462.53433667403624,684.0
462.79870437504,709.0
463.06306772689135,707.0
463.32742672245945,697.0
463.59178135461343,691.0
463.8561316162227,712.0
464.12047750015626,710.0
464.3848189992833,717.0
464.6491561064731,719.0
464.91348881459453,713.0
465.17781711651713,697.0
465.44214100511,685.0
465.70646047324226,704.0
465.97077551378305,706.0
466.23508611960165,705.0
466.49939228356715,688.0
466.7636939985488,705.0
467.02799125741564,697.0
467.2922840530371,681.0
467.55657237828217,678.0
467.8208562260201,706.0
468.08513558912,700.0
468.3494104604511,705.0
468.6136808328826,696.0
468.8779466992837,702.0
469.14220805252353,707.0
469.4064648854713,713.0
469.67071719099613,688.0
469.9349649619672,706.0
470.1992081912538,701.0
470.46344687172495,691.0
470.72768099625,698.0
470.991910557698,717.0
471.25613554893823,679.0
471.5203559628398,694.0
471.78457179227195,694.0
472.0487830301037,708.0
472.31298966920446,708.0
472.5771917024433,694.0
472.84138912268935,703.0
473.1055819228119,696.0
473.36977009568,682.0
473.63395363416294,673.0
473.8981325311298,688.0
474.1623067794499,710.0
474.4264763719923,683.0
474.69064130162633,682.0
474.95480156122085,701.0
475.2189571436454,700.0
475.48310804176896,681.0
475.74725424846076,704.0
476.01139575659,694.0
476.27553255902586,706.0
476.5396646486374,691.0
