Wavelength,Intensity
324.907733,721.0
325.17339567824854,640.0
325.4390577082402,667.0
325.70471908284435,679.0
325.97037979492995,703.0
326.23603983736626,699.0
326.50169920302244,710.0
326.7673578847678,726.0
327.0330158754714,708.0
327.2986731680023,721.0
327.56432975523006,732.0
327.8299856300235,718.0
328.0956407852518,727.0
328.36129521378444,714.0
328.62694890849036,730.0
328.89260186223873,725.0
329.1582540678989,712.0
329.42390551833995,732.0
329.68955620643095,719.0
329.95520612504123,712.0
330.22085526704,711.0
330.48650362529634,713.0
330.75215119267943,702.0
331.0177979620585,730.0
331.28344392630265,708.0
331.54908907828127,731.0
331.8147334108633,714.0
332.080376916918,710.0
332.34601958931455,731.0
332.6116614209222,708.0
332.8773024046101,724.0
333.14294253324726,715.0
333.4085817997031,696.0
333.67422019684665,714.0
333.9398577175471,706.0
334.20549435467376,698.0
334.4711301010957,718.0
334.7367649496821,716.0
335.00239889330214,710.0
335.2680319248251,728.0
335.53366403712005,710.0
335.7992952230561,710.0
336.06492547550266,712.0
336.3305547873287,706.0
336.5961831514035,735.0
336.86181056059627,707.0
337.1274370077761,726.0
337.3930624858122,711.0
337.6586869875738,700.0
337.92431050593,712.0
338.18993303375,712.0
338.45555456390304,716.0
338.7211750892583,684.0
338.9867946026848,708.0
339.25241309705194,714.0
339.5180305652288,694.0
339.78364700008444,722.0
340.04926239448827,699.0
340.3148767413094,697.0
340.5804900334169,708.0
340.84610226368,714.0
341.11171342496795,712.0
341.3773235101499,724.0
341.6429325120949,704.0
341.9085404236723,699.0
342.1741472377513,719.0
342.4397529472009,709.0
342.7053575448904,723.0
342.970961023689,724.0
343.23656337646577,705.0
343.50216459609004,714.0
343.76776467543084,711.0
344.03336360735744,711.0
344.298961384739,703.0
344.5645580004447,716.0
344.8301534473438,706.0
345.0957477183053,699.0
345.36134080619854,700.0
345.6269327038926,717.0
345.8925234042567,712.0
346.15811290016,713.0
346.4237011844718,719.0
346.689288250061,700.0
346.9548740897971,718.0
347.22045869654914,710.0
347.48604206318623,710.0
347.7516241825777,723.0
348.0172050475926,718.0
348.28278465110014,734.0
348.54836298596956,699.0
348.81394004507,697.0
349.07951582127066,705.0
349.34509030744067,726.0
349.61066349644926,724.0
349.87623538116554,706.0
350.14180595445873,712.0
350.40737520919805,705.0
350.6729431382527,708.0
350.9385097344918,713.0
351.2040749907844,704.0
351.4696389,694.0
351.73520145500754,718.0
352.00076264867624,689.0
352.26632247387533,728.0
352.531880923474,716.0
352.7974379903412,722.0
353.0629936673465,704.0
353.32854794735886,707.0
353.59410082324735,706.0
353.8596522878814,707.0
354.12520233413005,704.0
354.39075095486237,695.0
354.65629814294783,713.0
354.92184389125543,731.0
355.1873881926543,723.0
355.45293104001377,706.0
355.7184724262029,723.0
355.98401234409084,721.0
356.249550786547,715.0
356.51508774644026,727.0
356.78062321664,707.0
357.0461571900153,712.0
357.31168965943544,739.0
357.5772206177695,719.0
357.8427500578867,742.0
358.10827797265625,728.0
358.3738043549473,722.0
358.63932919762897,733.0
358.90485249357056,735.0
359.1703742356412,743.0
359.43589441670997,709.0
359.70141302964623,722.0
359.966930067319,706.0
360.23244552259763,710.0
360.49795938835115,717.0
360.76347165744875,726.0
361.0289823227597,720.0
361.2944913771531,720.0
361.55999881349817,712.0
361.82550462466406,726.0
362.09100880352,712.0
362.3565113429351,714.0
362.6220122357787,727.0
362.8875114749197,714.0
363.15300905322755,716.0
363.4185049635713,696.0
363.68399919882006,709.0
363.9494917518432,706.0
364.21498261550977,716.0
364.480471782689,718.0
364.74595924625,738.0
365.01144499906206,746.0
365.27692903399424,710.0
365.54241134391583,723.0
365.80789192169595,728.0
366.0733707602038,713.0
366.3388478523085,683.0
366.60432319087926,690.0
366.8697967687854,739.0
367.1352685788958,714.0
367.40073861408,719.0
367.66620686720694,722.0
367.9316733311458,709.0
368.1971379987659,726.0
368.4626008629363,710.0
368.72806191652626,718.0
368.99352115240487,712.0
369.2589785634414,732.0
369.524434142505,717.0
369.78988788246477,714.0
370.05533977619,711.0
370.3207898165498,730.0
370.5862379964134,698.0
370.85168430865,707.0
371.11712874612874,736.0
371.3825713017187,720.0
371.64801196828927,708.0
371.9134507387095,704.0
372.17888760584856,708.0
372.4443225625757,720.0
372.70975560176,711.0
372.9751867162708,712.0
373.24061589897707,709.0
373.5060431427481,697.0
373.7714684404531,698.0
374.03689178496126,687.0
374.30231316914166,697.0
374.56773258586367,713.0
374.83315002799617,731.0
375.09856548840855,708.0
375.36397895997004,715.0
375.6293904355496,718.0
375.89479990801664,717.0
376.16020737024024,738.0
376.4256128150895,710.0
376.6910162354337,722.0
376.9564176241421,728.0
377.22181697408365,716.0
377.48721427812774,727.0
377.7526095291435,725.0
378.01800272,723.0
378.28339384356656,738.0
378.54878289271227,708.0
378.81416986030627,715.0
379.07955473921794,704.0
379.34493752231623,694.0
379.61031820247047,718.0
379.87569677254976,719.0
380.1410732254234,716.0
380.4064475539604,712.0
380.67181975102994,712.0
380.93718980950143,715.0
381.20255772224385,728.0
381.4679234821264,721.0
381.7332870820183,706.0
381.9986485147888,714.0
382.2640077733069,713.0
382.5293648504419,708.0
382.79471973906294,712.0
383.0600724320393,720.0
383.32542292223997,712.0
383.59077120253437,710.0
383.8561172657915,716.0
384.1214611048805,718.0
384.3868027126708,705.0
384.6521420820313,705.0
384.9174792058312,722.0
385.18281407694,710.0
385.4481466882266,713.0
385.71347703256015,723.0
385.97880510281,722.0
386.24413089184526,695.0
386.5094543925351,725.0
386.7747755977486,745.0
387.04009450035517,712.0
387.3054110932237,717.0
387.5707253692237,707.0
387.83603732122407,697.0
388.10134694209415,711.0
388.36665422470304,715.0
388.63195916192,696.0
388.89726174661416,704.0
389.1625619716546,725.0
389.42785982991074,714.0
389.6931553142515,701.0
389.95844841754626,713.0
390.2237391326641,708.0
390.4890274524742,726.0
390.7543133698457,727.0
391.019596877648,709.0
391.28487796875,717.0
391.5501566360211,723.0
391.81543287233023,719.0
392.0807066705468,736.0
392.3459780235399,719.0
392.6112469241787,713.0
392.87651336533247,692.0
393.1417773398703,702.0
393.4070388406614,695.0
393.6722978605749,698.0
393.93755439248,687.0
394.2028084292459,706.0
394.46805996374184,721.0
394.73330898883694,702.0
394.99855549740033,741.0
395.26379948230124,705.0
395.5290409364089,716.0
395.79427985259235,713.0
396.05951622372095,729.0
396.3247500426638,716.0
396.58998130229,694.0
396.85520999546884,716.0
397.1204361150694,709.0
397.38565965396106,707.0
397.6508806050127,704.0
397.9160989610938,702.0
398.1813147150733,720.0
398.44652785982055,722.0
398.71173838820454,721.0
398.97694629309467,698.0
399.24215156735994,715.0
399.50735420386974,726.0
399.77255419549306,708.0
400.0377515350991,710.0
400.3029462155571,707.0
400.56813822973623,711.0
400.8333275705056,722.0
401.0985142307346,709.0
401.3636982032922,686.0
401.6288794810476,701.0
401.89405805687005,701.0
402.1592339236286,697.0
402.4244070741927,706.0
402.6895775014312,699.0
402.9547451982135,696.0
403.2199101574087,712.0
403.48507237188613,723.0
403.75023183451464,709.0
404.01538853816373,717.0
404.2805424757024,710.0
404.54569363999997,700.0
404.81084202392555,714.0
405.07598762034826,711.0
405.3411304221373,732.0
405.6062704221619,709.0
405.8714076132913,725.0
406.1365419883944,732.0
406.40167354034077,705.0
406.66680226199935,701.0
406.9319281462394,710.0
407.19705118593004,709.0
407.46217137394046,708.0
407.72728870313983,696.0
407.99240316639737,708.0
408.25751475658234,718.0
408.5226234665638,717.0
408.78772928921086,704.0
409.0528322173929,721.0
409.3179322439789,714.0
409.58302936183827,719.0
409.84812356384,713.0
410.1132148428533,713.0
410.3783031917475,721.0
410.6433886033915,723.0
410.90847107065474,711.0
411.17355058640624,716.0
411.4386271435153,718.0
411.703700734851,711.0
411.9687713532826,698.0
412.23383899167914,692.0
412.49890364290997,712.0
412.7639652998442,728.0
413.029023955351,718.0
413.29407960229963,686.0
413.5591322335591,708.0
413.8241818419988,736.0
414.08922842048764,722.0
414.3542719618951,708.0
414.61931245909017,719.0
414.8843499049421,714.0
415.14938429232,701.0
415.4144156140931,696.0
415.67944386313064,697.0
415.9444690323017,705.0
416.2094911144755,725.0
416.47451010252126,710.0
416.7395259893081,707.0
417.00453876770524,713.0
417.2695484305817,714.0
417.53455497080694,724.0
417.79955838125,710.0
418.06455865478,707.0
418.32955578426623,702.0
418.5945497625778,719.0
418.859540582584,714.0
419.12452823715375,705.0
419.38951271915647,697.0
419.6544940214613,706.0
419.9194721369373,695.0
420.1844470584539,694.0
420.44941877888004,728.0
420.71438729108496,708.0
420.97935258793785,707.0
421.2443146623079,716.0
421.5092735070643,724.0
421.77422911507625,712.0
422.0391814792129,713.0
422.30413059234337,712.0
422.569076447337,712.0
422.8340190370628,715.0
423.09895835439,718.0
423.36389439218783,701.0
423.62882714332545,717.0
423.893756600672,712.0
424.1586827570967,716.0
424.42360560546877,704.0
424.68852513865727,708.0
424.9534413495315,686.0
425.2183542309606,706.0
425.4832637758137,718.0
425.74816997695996,722.0
426.01307282726873,698.0
426.277972319609,717.0
426.5428684468501,705.0
426.8077612018611,698.0
427.07265057751124,717.0
427.3375365666697,699.0
427.6024191622056,707.0
427.86729835698816,702.0
428.1321741438866,715.0
428.39704651577,696.0
428.66191546550766,713.0
428.92678098596866,716.0
429.1916430700222,723.0
429.4565017105375,708.0
429.7213569003837,713.0
429.9862086324301,723.0
430.25105689954574,701.0
430.5159016945998,717.0
430.78074301046144,724.0
431.04558084,710.0
431.3104151760845,720.0
431.5752460115842,731.0
431.8400733393683,717.0
432.1048971523059,715.0
432.36971744326627,719.0
432.6345342051185,719.0
432.8993474307318,715.0
433.1641571129753,699.0
433.4289632447184,699.0
433.69376581883,714.0
433.9585648281794,703.0
434.22336026563585,715.0
434.4881521240684,724.0
434.7529403963463,721.0
435.0177250753387,711.0
435.2825061539149,721.0
435.5472836249439,718.0
435.812057481295,707.0
436.0768277158373,700.0
436.34159432144,700.0
436.60635729097226,701.0
436.8711166173034,692.0
437.1358722933025,709.0
437.4006243118387,723.0
437.66537266578126,712.0
437.93011734799927,712.0
438.1948583513619,701.0
438.45959566873853,691.0
438.72432929299816,711.0
438.98905921701004,702.0
439.25378543364326,706.0
439.51850793576705,717.0
439.7832267162506,705.0
440.0479417679631,704.0
440.31265308377374,698.0
440.5773606565517,704.0
440.8420644791661,715.0
441.1067645444861,709.0
441.3714608453811,691.0
441.6361533747199,683.0
441.90084212537215,708.0
442.16552709020664,726.0
442.4302082620927,727.0
442.6948856338995,708.0
442.9595591984962,710.0
443.22422894875206,709.0
443.48889487753615,709.0
443.7535569777178,707.0
444.018215242166,717.0
444.28286966375003,720.0
444.54752023533905,723.0
444.81216694980225,725.0
445.0768098000088,712.0
445.34144877882795,703.0
445.6060838791288,733.0
445.8707150937805,705.0
446.13534241565225,715.0
446.39996583761337,697.0
446.66458535253287,704.0
446.92920095328,698.0
447.1938126327239,695.0
447.4584203837338,702.0
447.7230241991789,705.0
447.98762407192834,711.0
448.25221999485126,722.0
448.5168119608169,712.0
448.78139996269437,708.0
449.045983993353,700.0
449.3105640456618,716.0
449.57514011249,706.0
449.83971218670683,696.0
450.10428026118143,710.0
450.368844328783,716.0
450.6334043823807,699.0
450.8979604148438,719.0
451.16251241904126,717.0
451.42706038784246,710.0
451.6916043141165,699.0
451.9561441907327,710.0
452.22068001056,711.0
452.4852117664678,722.0
452.74973945132507,720.0
453.0142630580011,699.0
453.27878257936516,709.0
453.54329800828623,700.0
453.80780933763367,729.0
454.0723165602766,682.0
454.3368196690842,703.0
454.6013186569255,709.0
454.86581351667,720.0
455.1303042411866,717.0
455.39479082334464,721.0
455.6592732560132,695.0
455.92375153206154,725.0
456.1882256443588,685.0
456.4526955857741,712.0
456.71716134917665,711.0
456.98162292743575,697.0
457.24608031342046,716.0
457.5105335,732.0
457.77498248004355,712.0
458.0394272464202,698.0
458.3038677919993,716.0
458.5683041096499,726.0
458.83273619224127,707.0
459.0971640326425,701.0
459.3615876237228,698.0
459.6260069583513,705.0
459.89042202939737,707.0
460.15483282972997,699.0
460.41923935221837,700.0
460.68364158973185,701.0
460.94803953513946,709.0
461.21243318131036,699.0
461.4768225211137,704.0
461.74120754741887,708.0
462.0055882530949,720.0
462.26996463101096,709.0
462.53433667403624,722.0
462.79870437504,726.0
463.06306772689135,726.0
463.32742672245945,715.0
463.59178135461343,721.0
463.8561316162227,715.0
464.12047750015626,714.0
464.3848189992833,717.0
464.6491561064731,705.0
464.91348881459453,714.0
465.17781711651713,694.0
465.44214100511,692.0
465.70646047324226,714.0
465.97077551378305,716.0
466.23508611960165,712.0
466.49939228356715,700.0
466.7636939985488,724.0
467.02799125741564,718.0
467.2922840530371,699.0
467.55657237828217,709.0
467.8208562260201,716.0
468.08513558912,697.0
468.3494104604511,718.0
468.6136808328826,708.0
468.8779466992837,719.0
469.14220805252353,711.0
469.4064648854713,715.0
469.67071719099613,695.0
469.9349649619672,704.0
