Wavelength,Intensity
324.907733,713.0
325.17339567824854,640.0
325.4390577082402,640.0
325.70471908284435,678.0
325.97037979492995,716.0
326.23603983736626,710.0
326.50169920302244,719.0
326.7673578847678,727.0
327.0330158754714,710.0
327.2986731680023,724.0
327.56432975523006,727.0
327.8299856300235,725.0
328.0956407852518,698.0
328.36129521378444,704.0
328.62694890849036,731.0
328.89260186223873,719.0
329.1582540678989,728.0
329.42390551833995,717.0
329.68955620643095,722.0
329.95520612504123,720.0
330.22085526704,702.0
330.48650362529634,698.0
330.75215119267943,693.0
331.0177979620585,699.0
331.28344392630265,691.0
331.54908907828127,696.0
331.8147334108633,696.0
332.080376916918,717.0
332.34601958931455,725.0
332.6116614209222,689.0
332.8773024046101,716.0
333.14294253324726,715.0
333.4085817997031,695.0
333.67422019684665,709.0
333.9398577175471,728.0
334.20549435467376,716.0
334.4711301010957,714.0
334.7367649496821,711.0
335.00239889330214,728.0
335.2680319248251,703.0
335.53366403712005,708.0
335.7992952230561,694.0
336.06492547550266,701.0
336.3305547873287,732.0
336.5961831514035,737.0
336.86181056059627,692.0
337.1274370077761,720.0
337.3930624858122,705.0
337.6586869875738,700.0
337.92431050593,722.0
338.18993303375,715.0
338.45555456390304,731.0
338.7211750892583,706.0
338.9867946026848,718.0
339.25241309705194,720.0
339.5180305652288,725.0
339.78364700008444,724.0
340.04926239448827,725.0
340.3148767413094,721.0
340.5804900334169,705.0
340.84610226368,711.0
341.11171342496795,700.0
341.3773235101499,719.0
341.6429325120949,719.0
341.9085404236723,714.0
342.1741472377513,711.0
342.4397529472009,692.0
342.7053575448904,710.0
342.970961023689,727.0
343.23656337646577,708.0
343.50216459609004,700.0
343.76776467543084,715.0
344.03336360735744,721.0
344.298961384739,716.0
344.5645580004447,712.0
344.8301534473438,722.0
345.0957477183053,700.0
345.36134080619854,715.0
345.6269327038926,736.0
345.8925234042567,701.0
346.15811290016,717.0
346.4237011844718,721.0
346.689288250061,718.0
346.9548740897971,722.0
347.22045869654914,724.0
347.48604206318623,716.0
347.7516241825777,700.0
348.0172050475926,709.0
348.28278465110014,717.0
348.54836298596956,709.0
348.81394004507,718.0
349.07951582127066,702.0
349.34509030744067,724.0
349.61066349644926,700.0
349.87623538116554,714.0
350.14180595445873,718.0
350.40737520919805,701.0
350.6729431382527,702.0
350.9385097344918,687.0
351.2040749907844,717.0
351.4696389,709.0
351.73520145500754,718.0
352.00076264867624,712.0
352.26632247387533,727.0
352.531880923474,732.0
352.7974379903412,711.0
353.0629936673465,703.0
353.32854794735886,704.0
353.59410082324735,709.0
353.8596522878814,695.0
354.12520233413005,712.0
