Wavelength,Intensity
324.907733,736.0
325.17339567824854,640.0
325.4390577082402,640.0
325.70471908284435,672.0
325.97037979492995,718.0
326.23603983736626,700.0
326.50169920302244,709.0
326.7673578847678,696.0
327.0330158754714,714.0
327.2986731680023,695.0
327.56432975523006,715.0
327.8299856300235,721.0
328.0956407852518,728.0
328.36129521378444,731.0
328.62694890849036,728.0
328.89260186223873,718.0
329.1582540678989,723.0
329.42390551833995,713.0
329.68955620643095,713.0
329.95520612504123,708.0
330.22085526704,696.0
330.48650362529634,697.0
330.75215119267943,693.0
331.0177979620585,700.0
331.28344392630265,708.0
331.54908907828127,713.0
331.8147334108633,704.0
332.080376916918,701.0
332.34601958931455,727.0
332.6116614209222,710.0
332.8773024046101,725.0
333.14294253324726,723.0
333.4085817997031,719.0
333.67422019684665,716.0
333.9398577175471,704.0
334.20549435467376,703.0
334.4711301010957,713.0
334.7367649496821,702.0
335.00239889330214,699.0
335.2680319248251,698.0
335.53366403712005,714.0
335.7992952230561,700.0
336.06492547550266,717.0
336.3305547873287,710.0
336.5961831514035,732.0
336.86181056059627,721.0
337.1274370077761,712.0
337.3930624858122,702.0
337.6586869875738,688.0
337.92431050593,705.0
338.18993303375,706.0
338.45555456390304,727.0
338.7211750892583,692.0
338.9867946026848,708.0
339.25241309705194,714.0
339.5180305652288,698.0
339.78364700008444,722.0
340.04926239448827,711.0
340.3148767413094,722.0
340.5804900334169,683.0
340.84610226368,722.0
341.11171342496795,702.0
341.3773235101499,720.0
341.6429325120949,724.0
341.9085404236723,706.0
342.1741472377513,718.0
342.4397529472009,704.0
342.7053575448904,702.0
342.970961023689,703.0
343.23656337646577,705.0
343.50216459609004,709.0
343.76776467543084,729.0
344.03336360735744,713.0
344.298961384739,700.0
344.5645580004447,694.0
344.8301534473438,712.0
345.0957477183053,695.0
345.36134080619854,696.0
345.6269327038926,727.0
345.8925234042567,701.0
346.15811290016,717.0
346.4237011844718,707.0
346.689288250061,703.0
346.9548740897971,718.0
347.22045869654914,705.0
347.48604206318623,694.0
347.7516241825777,713.0
348.0172050475926,716.0
348.28278465110014,728.0
348.54836298596956,715.0
348.81394004507,720.0
349.07951582127066,715.0
349.34509030744067,703.0
349.61066349644926,718.0
349.87623538116554,721.0
350.14180595445873,726.0
350.40737520919805,688.0
350.6729431382527,697.0
350.9385097344918,716.0
351.2040749907844,708.0
351.4696389,716.0
351.73520145500754,713.0
352.00076264867624,706.0
352.26632247387533,724.0
352.531880923474,703.0
352.7974379903412,697.0
353.0629936673465,692.0
353.32854794735886,673.0
353.59410082324735,698.0
353.8596522878814,708.0
354.12520233413005,721.0
354.39075095486237,720.0
354.65629814294783,699.0
354.92184389125543,709.0
355.1873881926543,708.0
355.45293104001377,712.0
355.7184724262029,706.0
355.98401234409084,725.0
356.249550786547,729.0
356.51508774644026,720.0
356.78062321664,700.0
357.0461571900153,713.0
357.31168965943544,713.0
357.5772206177695,724.0
357.8427500578867,727.0
358.10827797265625,717.0
358.3738043549473,724.0
358.63932919762897,717.0
358.90485249357056,713.0
359.1703742356412,703.0
359.43589441670997,702.0
359.70141302964623,712.0
359.966930067319,723.0
360.23244552259763,708.0
360.49795938835115,718.0
360.76347165744875,730.0
361.0289823227597,703.0
361.2944913771531,700.0
361.55999881349817,703.0
361.82550462466406,716.0
362.09100880352,704.0
362.3565113429351,709.0
362.6220122357787,718.0
362.8875114749197,713.0
363.15300905322755,702.0
363.4185049635713,709.0
363.68399919882006,729.0
363.9494917518432,703.0
364.21498261550977,710.0
364.480471782689,722.0
364.74595924625,709.0
365.01144499906206,724.0
365.27692903399424,714.0
365.54241134391583,717.0
365.80789192169595,705.0
366.0733707602038,700.0
366.3388478523085,687.0
366.60432319087926,695.0
366.8697967687854,721.0
367.1352685788958,726.0
367.40073861408,711.0
367.66620686720694,717.0
367.9316733311458,690.0
368.1971379987659,714.0
368.4626008629363,711.0
368.72806191652626,716.0
368.99352115240487,693.0
369.2589785634414,729.0
369.524434142505,710.0
369.78988788246477,707.0
370.05533977619,700.0
370.3207898165498,708.0
370.5862379964134,704.0
370.85168430865,694.0
371.11712874612874,722.0
371.3825713017187,709.0
371.64801196828927,708.0
371.9134507387095,714.0
372.17888760584856,700.0
372.4443225625757,704.0
372.70975560176,711.0
372.9751867162708,709.0
373.24061589897707,711.0
373.5060431427481,697.0
373.7714684404531,690.0
374.03689178496126,693.0
374.30231316914166,703.0
374.56773258586367,726.0
374.83315002799617,714.0
375.09856548840855,700.0
375.36397895997004,730.0
375.6293904355496,712.0
375.89479990801664,700.0
376.16020737024024,714.0
376.4256128150895,710.0
376.6910162354337,731.0
376.9564176241421,721.0
377.22181697408365,713.0
377.48721427812774,708.0
377.7526095291435,720.0
378.01800272,713.0
378.28339384356656,741.0
378.54878289271227,722.0
378.81416986030627,728.0
379.07955473921794,700.0
379.34493752231623,715.0
379.61031820247047,721.0
379.87569677254976,712.0
380.1410732254234,709.0
380.4064475539604,715.0
380.67181975102994,723.0
380.93718980950143,712.0
381.20255772224385,725.0
381.4679234821264,713.0
381.7332870820183,715.0
381.9986485147888,730.0
382.2640077733069,698.0
382.5293648504419,697.0
382.79471973906294,694.0
383.0600724320393,732.0
383.32542292223997,717.0
383.59077120253437,698.0
383.8561172657915,706.0
384.1214611048805,725.0
384.3868027126708,710.0
384.6521420820313,699.0
384.9174792058312,718.0
385.18281407694,705.0
385.4481466882266,706.0
385.71347703256015,719.0
385.97880510281,723.0
386.24413089184526,698.0
386.5094543925351,694.0
386.7747755977486,735.0
387.04009450035517,703.0
387.3054110932237,710.0
387.5707253692237,709.0
387.83603732122407,701.0
388.10134694209415,697.0
388.36665422470304,703.0
388.63195916192,695.0
388.89726174661416,701.0
389.1625619716546,717.0
389.42785982991074,713.0
389.6931553142515,706.0
389.95844841754626,724.0
390.2237391326641,701.0
390.4890274524742,729.0
390.7543133698457,712.0
391.019596877648,695.0
391.28487796875,737.0
391.5501566360211,714.0
391.81543287233023,720.0
392.0807066705468,724.0
392.3459780235399,714.0
392.6112469241787,724.0
392.87651336533247,698.0
393.1417773398703,708.0
393.4070388406614,693.0
393.6722978605749,701.0
393.93755439248,693.0
