Wavelength,Intensity
324.907733,733.0
325.17339567824854,595.0
325.4390577082402,640.0
325.70471908284435,657.0
325.97037979492995,724.0
326.23603983736626,709.0
326.50169920302244,717.0
326.7673578847678,714.0
327.0330158754714,706.0
327.2986731680023,697.0
327.56432975523006,727.0
327.8299856300235,728.0
328.0956407852518,712.0
328.36129521378444,698.0
328.62694890849036,712.0
328.89260186223873,714.0
329.1582540678989,697.0
329.42390551833995,719.0
329.68955620643095,706.0
329.95520612504123,721.0
330.22085526704,713.0
330.48650362529634,690.0
330.75215119267943,692.0
331.0177979620585,715.0
331.28344392630265,706.0
331.54908907828127,686.0
331.8147334108633,710.0
332.080376916918,711.0
332.34601958931455,718.0
332.6116614209222,705.0
332.8773024046101,725.0
333.14294253324726,720.0
333.4085817997031,702.0
333.67422019684665,711.0
333.9398577175471,710.0
334.20549435467376,714.0
334.4711301010957,708.0
334.7367649496821,716.0
335.00239889330214,719.0
335.2680319248251,705.0
335.53366403712005,702.0
335.7992952230561,699.0
336.06492547550266,697.0
336.3305547873287,710.0
336.5961831514035,728.0
336.86181056059627,703.0
337.1274370077761,714.0
337.3930624858122,713.0
337.6586869875738,689.0
337.92431050593,700.0
338.18993303375,712.0
338.45555456390304,709.0
338.7211750892583,695.0
338.9867946026848,705.0
339.25241309705194,725.0
339.5180305652288,708.0
339.78364700008444,716.0
340.04926239448827,706.0
340.3148767413094,716.0
340.5804900334169,715.0
340.84610226368,735.0
341.11171342496795,690.0
341.3773235101499,709.0
341.6429325120949,710.0
341.9085404236723,706.0
342.1741472377513,725.0
342.4397529472009,690.0
342.7053575448904,712.0
342.970961023689,700.0
343.23656337646577,693.0
343.50216459609004,699.0
343.76776467543084,702.0
344.03336360735744,718.0
344.298961384739,694.0
344.5645580004447,690.0
344.8301534473438,719.0
345.0957477183053,716.0
345.36134080619854,706.0
345.6269327038926,732.0
345.8925234042567,710.0
346.15811290016,719.0
346.4237011844718,709.0
346.689288250061,721.0
346.9548740897971,724.0
347.22045869654914,706.0
347.48604206318623,699.0
347.7516241825777,709.0
348.0172050475926,724.0
348.28278465110014,744.0
348.54836298596956,689.0
348.81394004507,702.0
349.07951582127066,696.0
349.34509030744067,719.0
349.61066349644926,708.0
349.87623538116554,722.0
350.14180595445873,715.0
350.40737520919805,708.0
350.6729431382527,720.0
350.9385097344918,708.0
351.2040749907844,699.0
351.4696389,711.0
351.73520145500754,726.0
352.00076264867624,722.0
352.26632247387533,718.0
352.531880923474,727.0
352.7974379903412,717.0
353.0629936673465,686.0
353.32854794735886,702.0
353.59410082324735,702.0
353.8596522878814,715.0
354.12520233413005,710.0
354.39075095486237,709.0
354.65629814294783,706.0
354.92184389125543,717.0
355.1873881926543,708.0
355.45293104001377,708.0
