Wavelength,Intensity
324.907733,725.0
325.17339567824854,640.0
325.4390577082402,660.0
325.70471908284435,655.0
325.97037979492995,707.0
326.23603983736626,684.0
326.50169920302244,704.0
326.7673578847678,728.0
327.0330158754714,713.0
327.2986731680023,716.0
327.56432975523006,730.0
327.8299856300235,726.0
328.0956407852518,710.0
328.36129521378444,699.0
328.62694890849036,711.0
328.89260186223873,719.0
329.1582540678989,705.0
329.42390551833995,725.0
329.68955620643095,712.0
329.95520612504123,707.0
330.22085526704,696.0
330.48650362529634,698.0
330.75215119267943,698.0
331.0177979620585,716.0
331.28344392630265,696.0
331.54908907828127,695.0
331.8147334108633,692.0
332.080376916918,713.0
332.34601958931455,721.0
332.6116614209222,699.0
332.8773024046101,702.0
333.14294253324726,700.0
333.4085817997031,714.0
333.67422019684665,718.0
333.9398577175471,711.0
334.20549435467376,696.0
334.4711301010957,711.0
334.7367649496821,715.0
335.00239889330214,715.0
335.2680319248251,715.0
335.53366403712005,701.0
335.7992952230561,694.0
336.06492547550266,694.0
336.3305547873287,709.0
336.5961831514035,734.0
336.86181056059627,706.0
337.1274370077761,715.0
337.3930624858122,715.0
337.6586869875738,691.0
337.92431050593,721.0
338.18993303375,722.0
338.45555456390304,710.0
338.7211750892583,705.0
338.9867946026848,701.0
339.25241309705194,709.0
339.5180305652288,700.0
339.78364700008444,722.0
340.04926239448827,706.0
340.3148767413094,710.0
340.5804900334169,691.0
340.84610226368,715.0
341.11171342496795,698.0
341.3773235101499,722.0
341.6429325120949,704.0
341.9085404236723,710.0
342.1741472377513,721.0
342.4397529472009,694.0
342.7053575448904,691.0
342.970961023689,714.0
343.23656337646577,710.0
343.50216459609004,706.0
343.76776467543084,708.0
344.03336360735744,726.0
344.298961384739,700.0
344.5645580004447,694.0
344.8301534473438,704.0
345.0957477183053,708.0
345.36134080619854,693.0
345.6269327038926,708.0
345.8925234042567,700.0
346.15811290016,699.0
346.4237011844718,710.0
346.689288250061,723.0
346.9548740897971,725.0
347.22045869654914,717.0
347.48604206318623,708.0
347.7516241825777,729.0
348.0172050475926,738.0
348.28278465110014,719.0
